Anno;Municipio;Eta_capofamiglia;Genere_capofamiglia;Numero_componenti;Famiglie
2004;Municipio 4;80 anni e più;Femmine;2;612
2004;Municipio 4;80 anni e più;Femmine;3;85
2004;Municipio 4;80 anni e più;Femmine;4 e più;28
2004;Municipio 5;Da 18 a 34 anni;Maschi;1;2613
2004;Municipio 5;Da 18 a 34 anni;Maschi;2;1574
2004;Municipio 5;Da 18 a 34 anni;Maschi;3;822
2004;Municipio 5;Da 18 a 34 anni;Maschi;4 e più;442
2004;Municipio 5;Da 35 a 64 anni;Maschi;1;4363
2004;Municipio 5;Da 35 a 64 anni;Maschi;2;4652
2004;Municipio 5;Da 35 a 64 anni;Maschi;3;5437
2004;Municipio 5;Da 35 a 64 anni;Maschi;4 e più;5745
2004;Municipio 5;Da 65 a 79 anni;Maschi;1;1241
2004;Municipio 5;Da 65 a 79 anni;Maschi;2;4846
2004;Municipio 5;Da 65 a 79 anni;Maschi;3;1467
2004;Municipio 5;Da 65 a 79 anni;Maschi;4 e più;442
2004;Municipio 5;80 anni e più;Maschi;1;445
2004;Municipio 5;80 anni e più;Maschi;2;1025
2004;Municipio 5;80 anni e più;Maschi;3;139
2004;Municipio 5;80 anni e più;Maschi;4 e più;28
2004;Municipio 5;Da 18 a 34 anni;Femmine;1;2058
2004;Municipio 5;Da 18 a 34 anni;Femmine;2;733
2004;Municipio 5;Da 18 a 34 anni;Femmine;3;293
2004;Municipio 5;Da 18 a 34 anni;Femmine;4 e più;163
2004;Municipio 5;Da 35 a 64 anni;Femmine;1;4392
2004;Municipio 5;Da 35 a 64 anni;Femmine;2;2590
2004;Municipio 5;Da 35 a 64 anni;Femmine;3;1353
2004;Municipio 5;Da 35 a 64 anni;Femmine;4 e più;822
2004;Municipio 5;Da 65 a 79 anni;Femmine;1;4318
2004;Municipio 5;Da 65 a 79 anni;Femmine;2;1168
2004;Municipio 5;Da 65 a 79 anni;Femmine;3;203
2004;Municipio 5;Da 65 a 79 anni;Femmine;4 e più;67
